,Benchmark Mode,Class,Cliffs Delta Size,Cliffs Delta d,Experiment,Factor,Fixed,Full params,Measurement Unit,Method,Original,Package,Project,Unnamed: 6,Wilcoxom,New Factor
0,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,1.937270526,24.799," (dirPath = floatCompress/, file = enumerate, strategy = lz4)",ms/op,readContinuous,12.801, io.druid.benchmark,druid,0,TRUE,1.937270526
1,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,4.995059986,21.234," (dirPath = floatCompress/, file = enumerate, strategy = none)",ms/op,readContinuous,4.251, io.druid.benchmark,druid,0,TRUE,4.995059986
2,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,1.882654181,25.734," (dirPath = floatCompress/, file = sequential, strategy = lz4)",ms/op,readContinuous,13.669, io.druid.benchmark,druid,0,TRUE,1.882654181
3,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,5.001412097,21.251," (dirPath = floatCompress/, file = sequential, strategy = none)",ms/op,readContinuous,4.249, io.druid.benchmark,druid,0,TRUE,5.001412097
4,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,2.026707106,24.056," (dirPath = floatCompress/, file = uniform, strategy = lz4)",ms/op,readContinuous,11.8695, io.druid.benchmark,druid,0,TRUE,2.026707106
5,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,5.095977417,21.663," (dirPath = floatCompress/, file = uniform, strategy = none)",ms/op,readContinuous,4.251, io.druid.benchmark,druid,0,TRUE,5.095977417
6,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,1.810232558,27.244," (dirPath = floatCompress/, file = zipfHigh, strategy = lz4)",ms/op,readContinuous,15.05, io.druid.benchmark,druid,0,TRUE,1.810232558
7,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,5.003178714,21.2485," (dirPath = floatCompress/, file = zipfHigh, strategy = none)",ms/op,readContinuous,4.247, io.druid.benchmark,druid,0,TRUE,5.003178714
8,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,1.614243323,31.552," (dirPath = floatCompress/, file = zipfLow, strategy = lz4)",ms/op,readContinuous,19.546, io.druid.benchmark,druid,0,TRUE,1.614243323
9,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,5.09790539,21.661," (dirPath = floatCompress/, file = zipfLow, strategy = none)",ms/op,readContinuous,4.249, io.druid.benchmark,druid,0,TRUE,5.09790539
10,"Average time, time/op",FloatCompressionBenchmark,large,-0.752569444,LOOP,1.001616031,3.099," (dirPath = floatCompress/, file = enumerate, strategy = lz4)",ms/op,readSkipping,3.094, io.druid.benchmark,druid,0,TRUE,1.001616031
11,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,1.032679739,0.158," (dirPath = floatCompress/, file = enumerate, strategy = none)",ms/op,readSkipping,0.153, io.druid.benchmark,druid,0,TRUE,1.032679739
12,"Average time, time/op",FloatCompressionBenchmark,negligible,0.115143103,LOOP,1.000254972,3.923," (dirPath = floatCompress/, file = sequential, strategy = lz4)",ms/op,readSkipping,3.922, io.druid.benchmark,druid,0,FALSE,1.000254972
13,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,1.032894737,0.157," (dirPath = floatCompress/, file = sequential, strategy = none)",ms/op,readSkipping,0.152, io.druid.benchmark,druid,0,TRUE,1.032894737
14,"Average time, time/op",FloatCompressionBenchmark,negligible,0.049110979,LOOP,0.997206704,2.142," (dirPath = floatCompress/, file = uniform, strategy = lz4)",ms/op,readSkipping,2.148, io.druid.benchmark,druid,0,FALSE,-1.00280112
15,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,1.032679739,0.158," (dirPath = floatCompress/, file = uniform, strategy = none)",ms/op,readSkipping,0.153, io.druid.benchmark,druid,0,TRUE,1.032679739
16,"Average time, time/op",FloatCompressionBenchmark,large,-0.71339811,LOOP,1.001123175,5.348," (dirPath = floatCompress/, file = zipfHigh, strategy = lz4)",ms/op,readSkipping,5.342, io.druid.benchmark,druid,0,TRUE,1.001123175
17,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,1.032467532,0.159," (dirPath = floatCompress/, file = zipfHigh, strategy = none)",ms/op,readSkipping,0.154, io.druid.benchmark,druid,0,TRUE,1.032467532
18,"Average time, time/op",FloatCompressionBenchmark,negligible,0.084864,LOOP,0.999898312,9.833," (dirPath = floatCompress/, file = zipfLow, strategy = lz4)",ms/op,readSkipping,9.834, io.druid.benchmark,druid,0,FALSE,-1.000101698
19,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,1.032679739,0.158," (dirPath = floatCompress/, file = zipfLow, strategy = none)",ms/op,readSkipping,0.153, io.druid.benchmark,druid,0,TRUE,1.032679739
20,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,1.332842309,37.097," (dirPath = longCompress/, file = enumerate, format = auto, strategy = lz4)",ms/op,readContinuous,27.833, io.druid.benchmark,druid,0,TRUE,1.332842309
21,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,4.391193956,35.4545," (dirPath = longCompress/, file = enumerate, format = auto, strategy = none)",ms/op,readContinuous,8.074, io.druid.benchmark,druid,0,TRUE,4.391193956
22,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,1.585324124,25.018," (dirPath = longCompress/, file = enumerate, format = longs, strategy = lz4)",ms/op,readContinuous,15.781, io.druid.benchmark,druid,0,TRUE,1.585324124
23,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,5.069701897,23.384," (dirPath = longCompress/, file = enumerate, format = longs, strategy = none)",ms/op,readContinuous,4.6125, io.druid.benchmark,druid,0,TRUE,5.069701897
24,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,1.361164333,36.942," (dirPath = longCompress/, file = sequential, format = auto, strategy = lz4)",ms/op,readContinuous,27.14, io.druid.benchmark,druid,0,TRUE,1.361164333
25,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,4.113649958,34.386," (dirPath = longCompress/, file = sequential, format = auto, strategy = none)",ms/op,readContinuous,8.359, io.druid.benchmark,druid,0,TRUE,4.113649958
26,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,1.197878866,55.457," (dirPath = longCompress/, file = sequential, format = longs, strategy = lz4)",ms/op,readContinuous,46.296, io.druid.benchmark,druid,0,TRUE,1.197878866
27,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,5.146262189,23.75," (dirPath = longCompress/, file = sequential, format = longs, strategy = none)",ms/op,readContinuous,4.615, io.druid.benchmark,druid,0,TRUE,5.146262189
28,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,1.287636195,38.763," (dirPath = longCompress/, file = uniform, format = auto, strategy = lz4)",ms/op,readContinuous,30.104, io.druid.benchmark,druid,0,TRUE,1.287636195
29,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,3.138717886,38.239," (dirPath = longCompress/, file = uniform, format = auto, strategy = none)",ms/op,readContinuous,12.183, io.druid.benchmark,druid,0,TRUE,3.138717886
30,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,1.387795441,32.999," (dirPath = longCompress/, file = uniform, format = longs, strategy = lz4)",ms/op,readContinuous,23.778, io.druid.benchmark,druid,0,TRUE,1.387795441
31,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,5.079991329,23.434," (dirPath = longCompress/, file = uniform, format = longs, strategy = none)",ms/op,readContinuous,4.613, io.druid.benchmark,druid,0,TRUE,5.079991329
32,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,1.302072126,32.6755," (dirPath = longCompress/, file = zipfHigh, format = auto, strategy = lz4)",ms/op,readContinuous,25.095, io.druid.benchmark,druid,0,TRUE,1.302072126
33,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,9.727895595,29.816," (dirPath = longCompress/, file = zipfHigh, format = auto, strategy = none)",ms/op,readContinuous,3.065, io.druid.benchmark,druid,0,TRUE,9.727895595
34,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,1.519288084,27.0175," (dirPath = longCompress/, file = zipfHigh, format = longs, strategy = lz4)",ms/op,readContinuous,17.783, io.druid.benchmark,druid,0,TRUE,1.519288084
35,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,5.085466377,23.444," (dirPath = longCompress/, file = zipfHigh, format = longs, strategy = none)",ms/op,readContinuous,4.61, io.druid.benchmark,druid,0,TRUE,5.085466377
36,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,1.25768672,42.418," (dirPath = longCompress/, file = zipfLow, format = auto, strategy = lz4)",ms/op,readContinuous,33.727, io.druid.benchmark,druid,0,TRUE,1.25768672
37,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,3.139046212,38.243," (dirPath = longCompress/, file = zipfLow, format = auto, strategy = none)",ms/op,readContinuous,12.183, io.druid.benchmark,druid,0,TRUE,3.139046212
38,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,1.358703449,35.043," (dirPath = longCompress/, file = zipfLow, format = longs, strategy = lz4)",ms/op,readContinuous,25.7915, io.druid.benchmark,druid,0,TRUE,1.358703449
39,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,5.12284153,23.437," (dirPath = longCompress/, file = zipfLow, format = longs, strategy = none)",ms/op,readContinuous,4.575, io.druid.benchmark,druid,0,TRUE,5.12284153
40,"Average time, time/op",LongCompressionBenchmark,large,-0.974737974,LOOP,1.012019231,1.263," (dirPath = longCompress/, file = enumerate, format = auto, strategy = lz4)",ms/op,readSkipping,1.248, io.druid.benchmark,druid,0,TRUE,1.012019231
41,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,1.105263158,0.084," (dirPath = longCompress/, file = enumerate, format = auto, strategy = none)",ms/op,readSkipping,0.076, io.druid.benchmark,druid,0,TRUE,1.105263158
42,"Average time, time/op",LongCompressionBenchmark,large,-0.688738868,LOOP,1.001265823,4.746," (dirPath = longCompress/, file = enumerate, format = longs, strategy = lz4)",ms/op,readSkipping,4.74, io.druid.benchmark,druid,0,TRUE,1.001265823
43,"Average time, time/op",LongCompressionBenchmark,small,-0.304977196,LOOP,1.017021277,0.239," (dirPath = longCompress/, file = enumerate, format = longs, strategy = none)",ms/op,readSkipping,0.235, io.druid.benchmark,druid,0,TRUE,1.017021277
44,"Average time, time/op",LongCompressionBenchmark,large,-0.63187628,LOOP,1.007653061,1.185," (dirPath = longCompress/, file = sequential, format = auto, strategy = lz4)",ms/op,readSkipping,1.176, io.druid.benchmark,druid,0,TRUE,1.007653061
45,"Average time, time/op",LongCompressionBenchmark,large,-0.995296963,LOOP,1.063636364,0.117," (dirPath = longCompress/, file = sequential, format = auto, strategy = none)",ms/op,readSkipping,0.11, io.druid.benchmark,druid,0,TRUE,1.063636364
46,"Average time, time/op",LongCompressionBenchmark,medium,0.418071254,LOOP,0.999687908,35.235," (dirPath = longCompress/, file = sequential, format = longs, strategy = lz4)",ms/op,readSkipping,35.246, io.druid.benchmark,druid,0,TRUE,-1.00031219
47,"Average time, time/op",LongCompressionBenchmark,small,-0.278737791,LOOP,1.021276596,0.24," (dirPath = longCompress/, file = sequential, format = longs, strategy = none)",ms/op,readSkipping,0.235, io.druid.benchmark,druid,0,TRUE,1.021276596
48,"Average time, time/op",LongCompressionBenchmark,large,-0.952667168,LOOP,1.023961661,0.641," (dirPath = longCompress/, file = uniform, format = auto, strategy = lz4)",ms/op,readSkipping,0.626, io.druid.benchmark,druid,0,TRUE,1.023961661
49,"Average time, time/op",LongCompressionBenchmark,large,-0.845897921,LOOP,1.084337349,0.09," (dirPath = longCompress/, file = uniform, format = auto, strategy = none)",ms/op,readSkipping,0.083, io.druid.benchmark,druid,0,TRUE,1.084337349
50,"Average time, time/op",LongCompressionBenchmark,large,-0.587140554,LOOP,1.000706769,12.743," (dirPath = longCompress/, file = uniform, format = longs, strategy = lz4)",ms/op,readSkipping,12.734, io.druid.benchmark,druid,0,TRUE,1.000706769
51,"Average time, time/op",LongCompressionBenchmark,small,-0.279373743,LOOP,1.017021277,0.239," (dirPath = longCompress/, file = uniform, format = longs, strategy = none)",ms/op,readSkipping,0.235, io.druid.benchmark,druid,0,TRUE,1.017021277
52,"Average time, time/op",LongCompressionBenchmark,large,-0.968581381,LOOP,1.005492184,2.38," (dirPath = longCompress/, file = zipfHigh, format = auto, strategy = lz4)",ms/op,readSkipping,2.367, io.druid.benchmark,druid,0,TRUE,1.005492184
53,"Average time, time/op",LongCompressionBenchmark,large,-0.844702013,LOOP,1.052631579,0.08," (dirPath = longCompress/, file = zipfHigh, format = auto, strategy = none)",ms/op,readSkipping,0.076, io.druid.benchmark,druid,0,TRUE,1.052631579
54,"Average time, time/op",LongCompressionBenchmark,small,-0.205102783,LOOP,1.000297,6.736," (dirPath = longCompress/, file = zipfHigh, format = longs, strategy = lz4)",ms/op,readSkipping,6.734, io.druid.benchmark,druid,0,FALSE,1.000297
55,"Average time, time/op",LongCompressionBenchmark,small,-0.257255844,LOOP,1.017021277,0.239," (dirPath = longCompress/, file = zipfHigh, format = longs, strategy = none)",ms/op,readSkipping,0.235, io.druid.benchmark,druid,0,TRUE,1.017021277
56,"Average time, time/op",LongCompressionBenchmark,large,-0.921343116,LOOP,1.004924953,4.285," (dirPath = longCompress/, file = zipfLow, format = auto, strategy = lz4)",ms/op,readSkipping,4.264, io.druid.benchmark,druid,0,TRUE,1.004924953
57,"Average time, time/op",LongCompressionBenchmark,large,-1,LOOP,1.071428571,0.09," (dirPath = longCompress/, file = zipfLow, format = auto, strategy = none)",ms/op,readSkipping,0.084, io.druid.benchmark,druid,0,TRUE,1.071428571
58,"Average time, time/op",LongCompressionBenchmark,medium,-0.444101048,LOOP,1.000169296,14.7695," (dirPath = longCompress/, file = zipfLow, format = longs, strategy = lz4)",ms/op,readSkipping,14.767, io.druid.benchmark,druid,0,TRUE,1.000169296
59,"Average time, time/op",LongCompressionBenchmark,small,-0.290130797,LOOP,1.019189765,0.239," (dirPath = longCompress/, file = zipfLow, format = longs, strategy = none)",ms/op,readSkipping,0.2345, io.druid.benchmark,druid,0,TRUE,1.019189765
60,"Average time, time/op",FilterPartitionBenchmark,negligible,0.046380497,LOOP,0.999070242,115963.15," (rowsPerSegment = 750000, schema = basic)",us/op,timeFilterNone,116071.068, io.druid.benchmark,druid,0,FALSE,-1.000930623
61,"Average time, time/op",CachingCostBalancerStrategyBenchmark,large,-1,LOOP,1.649294911,2.69," (rowsPerSegment = 750000, schema = basic)",us/op,measureCachingCostStrategy,1.631, io.druid.server.coordinator,druid,0,TRUE,1.649294911
62,"Average time, time/op",CachingCostBalancerStrategyBenchmark,negligible,0.1336,LOOP,0.976901102,21544.679," (rowsPerSegment = 750000, schema = basic)",us/op,measureCostStrategy,22054.1045, io.druid.server.coordinator,druid,0,FALSE,-1.023645073
63,"Average time, time/op",CostBalancerStrategyBenchmark,large,-1,LOOP,1.031328297,863.591," (rowsPerSegment = 750000, schema = basic)",us/op,measureCostStrategySingle,837.358, io.druid.server.coordinator,druid,0,TRUE,1.031328297
0,"Average time, time/op",LoadStatusBenchmark,large,1,INVO,0.68374489,195.1825," (serverHasAllSegments = false, totalSegmentsCount = 10000)",us/op,newVersion,285.461, io.druid.benchmark,druid,0,TRUE,-1.462533782
1,"Average time, time/op",LoadStatusBenchmark,large,1,INVO,0.742813361,363.079," (serverHasAllSegments = true, totalSegmentsCount = 10000)",us/op,newVersion,488.789, io.druid.benchmark,druid,0,TRUE,-1.346233189
2,"Average time, time/op",LoadStatusBenchmark,large,1,INVO,0.727876976,218.58," (serverHasAllSegments = false, totalSegmentsCount = 10000)",us/op,oldVersion,300.298, io.druid.benchmark,druid,0,TRUE,-1.373858541
3,"Average time, time/op",LoadStatusBenchmark,large,0.999714625,INVO,0.639296081,1179230.986," (serverHasAllSegments = true, totalSegmentsCount = 10000)",us/op,oldVersion,1844577.217, io.druid.benchmark,druid,0,TRUE,-1.564220444
4,"Average time, time/op",IndexIngestionBenchmark,small,-0.190006575,INVO,1.00997665,500992.909," (rollup = false, rowsPerSegment = 75000, schema = basic)",us/op,addRows,496044.051, io.druid.benchmark.indexing,druid,0,FALSE,1.00997665
5,"Average time, time/op",IndexIngestionBenchmark,negligible,-0.145823035,INVO,1.004112355,501642.94," (rollup = true, rowsPerSegment = 75000, schema = basic)",us/op,addRows,499588.455, io.druid.benchmark.indexing,druid,0,FALSE,1.004112355
0,"Average time, time/op",BindBoolean,large,-1,FORK,1.492523364,7.985,,ns/op,bindBoolean,5.35, org.postgresql.benchmark.statement,pgdbc,0,TRUE,1.492523364
1,"Average time, time/op",BindBoolean,large,-1,FORK,1.095333668,10.915,,ns/op,boolAsBoolean,9.965, org.postgresql.benchmark.statement,pgdbc,0,TRUE,1.095333668
2,"Average time, time/op",BindBoolean,large,-1,FORK,1.178918279,14.931,,ns/op,boolAsInt,12.665, org.postgresql.benchmark.statement,pgdbc,0,TRUE,1.178918279
3,"Average time, time/op",AddPaddingZeros,large,-0.893194707,FORK,1.194947491,76.1785, (nanos = 1000),ns/op,charArray,63.7505, org.postgresql.benchmark.time,pgdbc,0,TRUE,1.194947491
4,"Average time, time/op",AddPaddingZeros,large,-0.872340426,FORK,1.6972229,83.483, (nanos = 1000000),ns/op,charArray,49.188, org.postgresql.benchmark.time,pgdbc,0,TRUE,1.6972229
5,"Average time, time/op",AddPaddingZeros,large,-0.836734694,FORK,1.722423347,93.252, (nanos = 100000000),ns/op,charArray,54.14, org.postgresql.benchmark.time,pgdbc,0,TRUE,1.722423347
6,"Average time, time/op",AddPaddingZeros,large,-1,FORK,4.140892409,113.9615, (nanos = 1000),ns/op,insert,27.521, org.postgresql.benchmark.time,pgdbc,0,TRUE,4.140892409
7,"Average time, time/op",AddPaddingZeros,large,-1,FORK,3.198101505,118.592, (nanos = 1000000),ns/op,insert,37.082, org.postgresql.benchmark.time,pgdbc,0,TRUE,3.198101505
8,"Average time, time/op",AddPaddingZeros,large,-1,FORK,3.510191636,94.9735, (nanos = 100000000),ns/op,insert,27.0565, org.postgresql.benchmark.time,pgdbc,0,TRUE,3.510191636
0,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,large,0.968099081,INVO,0.756526438,137211.8945, (PCAImplementation = JAMA),ns/op,measureImputeMissingScoring,181370.918, hex.pca,h2o-3,0,TRUE,-1.321830871
1,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,large,0.988850311,INVO,0.762780888,138809.731, (PCAImplementation = MTJ_EVD_DENSEMATRIX),ns/op,measureImputeMissingScoring,181978.512, hex.pca,h2o-3,0,TRUE,-1.310992469
2,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,large,0.987346939,INVO,0.76642004,141129.0705, (PCAImplementation = MTJ_EVD_SYMMMATRIX),ns/op,measureImputeMissingScoring,184140.632, hex.pca,h2o-3,0,TRUE,-1.304767553
3,"Average time, time/op",PCACatOnlyPUBDEV3988Bench,large,0.944257092,INVO,0.756427769,138940.145, (PCAImplementation = MTJ_SVD_DENSEMATRIX),ns/op,measureImputeMissingScoring,183679.329, hex.pca,h2o-3,0,TRUE,-1.322003291
4,"Average time, time/op",PCAImputeMissingScoringBench,large,0.913608411,INVO,0.763682384,138574.7075, (PCAImplementation = JAMA),ns/op,measureImputeMissingScoring,181455.9435, hex.pca,h2o-3,0,TRUE,-1.309444896
5,"Average time, time/op",PCAImputeMissingScoringBench,large,0.915991512,INVO,0.760862328,139616.8505, (PCAImplementation = MTJ_EVD_DENSEMATRIX),ns/op,measureImputeMissingScoring,183498.1775, hex.pca,h2o-3,0,TRUE,-1.314298216
6,"Average time, time/op",PCAImputeMissingScoringBench,large,0.970225922,INVO,0.738131049,138143.528, (PCAImplementation = MTJ_EVD_SYMMMATRIX),ns/op,measureImputeMissingScoring,187153.119, hex.pca,h2o-3,0,TRUE,-1.354772979
7,"Average time, time/op",PCAImputeMissingScoringBench,large,0.97110152,INVO,0.765649804,140369.0865, (PCAImplementation = MTJ_SVD_DENSEMATRIX),ns/op,measureImputeMissingScoring,183333.2755, hex.pca,h2o-3,0,TRUE,-1.306080135
8,"Average time, time/op",PCAImputeMissingTrainingBench,small,-0.286666667,INVO,1.1801747,3501221.767, (PCAImplementation = JAMA),ns/op,measureImputeMissingTraining,2966697.868, hex.pca,h2o-3,0,FALSE,1.1801747
9,"Average time, time/op",PCAImputeMissingTrainingBench,small,-0.226666667,INVO,1.154022809,3549159.013, (PCAImplementation = MTJ_EVD_DENSEMATRIX),ns/op,measureImputeMissingTraining,3075466.954, hex.pca,h2o-3,0,FALSE,1.154022809
10,"Average time, time/op",PCAImputeMissingTrainingBench,small,-0.222222222,INVO,1.128563811,3435418.512, (PCAImplementation = MTJ_EVD_SYMMMATRIX),ns/op,measureImputeMissingTraining,3044062.267, hex.pca,h2o-3,0,FALSE,1.128563811
11,"Average time, time/op",PCAImputeMissingTrainingBench,medium,-0.348888889,INVO,1.135519158,3406295.556, (PCAImplementation = MTJ_SVD_DENSEMATRIX),ns/op,measureImputeMissingTraining,2999769.34, hex.pca,h2o-3,0,TRUE,1.135519158
12,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,-0.027611369,INVO,1.036640314,151612.893," (PCAImplementation = JAMA, dataSetCase = 1)",ns/op,measureWideDataSetsBenchScoringCase,146254.097, hex.pca,h2o-3,0,FALSE,1.036640314
13,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,0.127911111,INVO,0.953248441,164164.347," (PCAImplementation = JAMA, dataSetCase = 2)",ns/op,measureWideDataSetsBenchScoringCase,172215.6995, hex.pca,h2o-3,0,FALSE,-1.049044465
14,"Average time, time/op",PCAWideDataSetsScoringBench,small,-0.255022222,INVO,1.272890161,264148.617," (PCAImplementation = JAMA, dataSetCase = 3)",ns/op,measureWideDataSetsBenchScoringCase,207518.783, hex.pca,h2o-3,0,TRUE,1.272890161
15,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,0.007644444,INVO,0.974525111,192169.9195," (PCAImplementation = JAMA, dataSetCase = 4)",ns/op,measureWideDataSetsBenchScoringCase,197193.3995, hex.pca,h2o-3,0,FALSE,-1.026140824
16,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,-0.097875885,INVO,1.013246556,826221," (PCAImplementation = JAMA, dataSetCase = 5)",ns/op,measureWideDataSetsBenchScoringCase,815419.5, hex.pca,h2o-3,0,FALSE,1.013246556
17,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,-0.045808747,INVO,1.029611595,537066," (PCAImplementation = JAMA, dataSetCase = 6)",ns/op,measureWideDataSetsBenchScoringCase,521620, hex.pca,h2o-3,0,FALSE,1.029611595
18,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,0.017168772,INVO,1.007917193,153330.421," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 1)",ns/op,measureWideDataSetsBenchScoringCase,152126.01, hex.pca,h2o-3,0,FALSE,1.007917193
19,"Average time, time/op",PCAWideDataSetsScoringBench,small,0.236242568,INVO,0.947950012,136948.047," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 2)",ns/op,measureWideDataSetsBenchScoringCase,144467.583, hex.pca,h2o-3,0,TRUE,-1.054907946
20,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,0.114755556,INVO,0.848552813,219053.937," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 3)",ns/op,measureWideDataSetsBenchScoringCase,258150.0335, hex.pca,h2o-3,0,FALSE,-1.178477032
21,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,0.123356465,INVO,0.964459786,154573.3015," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 4)",ns/op,measureWideDataSetsBenchScoringCase,160269.307, hex.pca,h2o-3,0,FALSE,-1.036849866
22,"Average time, time/op",PCAWideDataSetsScoringBench,small,0.165227998,INVO,0.959886893,1064719.5," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 5)",ns/op,measureWideDataSetsBenchScoringCase,1109213.5, hex.pca,h2o-3,0,FALSE,-1.04178941
23,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,0.076257826,INVO,0.985337823,717792," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 6)",ns/op,measureWideDataSetsBenchScoringCase,728473, hex.pca,h2o-3,0,FALSE,-1.014880355
24,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,0.05898466,INVO,0.979283587,163397.651," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 1)",ns/op,measureWideDataSetsBenchScoringCase,166854.273, hex.pca,h2o-3,0,FALSE,-1.021154662
25,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,-0.0304,INVO,0.967309152,157558.93," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 2)",ns/op,measureWideDataSetsBenchScoringCase,162883.7375, hex.pca,h2o-3,0,FALSE,-1.033795657
26,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,0.011911111,INVO,0.968293059,289196.6045," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 3)",ns/op,measureWideDataSetsBenchScoringCase,298666.4025, hex.pca,h2o-3,0,FALSE,-1.032745191
