,Benchmark Mode,Class,Cliffs Delta Size,Cliffs Delta d,Experiment,Factor,Fixed,Full params,Measurement Unit,Method,Original,Package,Project,Unnamed: 6,Wilcoxom,New Factor
27,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,-0.058222222,INVO,1.072008606,205414.164," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 4)",ns/op,measureWideDataSetsBenchScoringCase,191616.152, hex.pca,h2o-3,0,FALSE,1.072008606
28,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,-0.04019025,INVO,1.023847705,851807.333," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 5)",ns/op,measureWideDataSetsBenchScoringCase,831966.833, hex.pca,h2o-3,0,FALSE,1.023847705
29,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,-0.104274582,INVO,1.029809244,485898.5," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 6)",ns/op,measureWideDataSetsBenchScoringCase,471833.5, hex.pca,h2o-3,0,FALSE,1.029809244
30,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,0.056711111,INVO,0.941510599,154927.3415," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 1)",ns/op,measureWideDataSetsBenchScoringCase,164551.8825, hex.pca,h2o-3,0,FALSE,-1.062122934
31,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,-0.030133333,INVO,1.004807225,161929.2015," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 2)",ns/op,measureWideDataSetsBenchScoringCase,161154.4955, hex.pca,h2o-3,0,FALSE,1.004807225
32,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,0.084977778,INVO,0.771173258,254498.9645," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 3)",ns/op,measureWideDataSetsBenchScoringCase,330015.2875, hex.pca,h2o-3,0,FALSE,-1.296725463
33,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,0.036,INVO,0.981830719,186113.9135," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 4)",ns/op,measureWideDataSetsBenchScoringCase,189558.047, hex.pca,h2o-3,0,FALSE,-1.018505513
34,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,-0.099068663,INVO,1.022867346,854106.125," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 5)",ns/op,measureWideDataSetsBenchScoringCase,835011.625, hex.pca,h2o-3,0,FALSE,1.022867346
35,"Average time, time/op",PCAWideDataSetsScoringBench,negligible,-0.011756227,INVO,1.03178335,505124.5," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 6)",ns/op,measureWideDataSetsBenchScoringCase,489564.5, hex.pca,h2o-3,0,FALSE,1.03178335
36,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.068774629,INVO,1.014737231,4206144.267," (PCAImplementation = JAMA, dataSetCase = 1)",ns/op,measureWideDataSetsBenchTrainingCase,4145057.598, hex.pca,h2o-3,0,FALSE,1.014737231
37,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.023369892,INVO,1.019127528,4692613.19," (PCAImplementation = JAMA, dataSetCase = 2)",ns/op,measureWideDataSetsBenchTrainingCase,4604539.728, hex.pca,h2o-3,0,FALSE,1.019127528
38,"Average time, time/op",PCAWideDataSetsTrainingBench,small,0.15303141,INVO,0.94376843,4508602.999," (PCAImplementation = JAMA, dataSetCase = 3)",ns/op,measureWideDataSetsBenchTrainingCase,4777234.389, hex.pca,h2o-3,0,FALSE,-1.059581957
39,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.113403944,INVO,1.042317196,5544793.672," (PCAImplementation = JAMA, dataSetCase = 4)",ns/op,measureWideDataSetsBenchTrainingCase,5319679.74, hex.pca,h2o-3,0,FALSE,1.042317196
40,"Average time, time/op",PCAWideDataSetsTrainingBench,medium,0.380653031,INVO,0.975105935,786157709.3," (PCAImplementation = JAMA, dataSetCase = 5)",ns/op,measureWideDataSetsBenchTrainingCase,806228001.3, hex.pca,h2o-3,0,TRUE,-1.0255296
41,"Average time, time/op",PCAWideDataSetsTrainingBench,small,-0.244156318,INVO,1.008610956,763089452.5," (PCAImplementation = JAMA, dataSetCase = 6)",ns/op,measureWideDataSetsBenchTrainingCase,756574621.8, hex.pca,h2o-3,0,TRUE,1.008610956
42,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.10833449,INVO,1.0224926,5453149.058," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 1)",ns/op,measureWideDataSetsBenchTrainingCase,5333191.712, hex.pca,h2o-3,0,FALSE,1.0224926
43,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.044745464,INVO,1.034112936,5641987.183," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 2)",ns/op,measureWideDataSetsBenchTrainingCase,5455871.392, hex.pca,h2o-3,0,FALSE,1.034112936
44,"Average time, time/op",PCAWideDataSetsTrainingBench,small,-0.296338003,INVO,1.072914645,6249005.041," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 3)",ns/op,measureWideDataSetsBenchTrainingCase,5824326.352, hex.pca,h2o-3,0,TRUE,1.072914645
45,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,0.142804967,INVO,0.979965337,6259261.183," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 4)",ns/op,measureWideDataSetsBenchTrainingCase,6387227.125, hex.pca,h2o-3,0,FALSE,-1.020444257
46,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.002452682,INVO,0.994105761,4832588314," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 5)",ns/op,measureWideDataSetsBenchTrainingCase,4861241635, hex.pca,h2o-3,0,FALSE,-1.005929187
47,"Average time, time/op",PCAWideDataSetsTrainingBench,small,-0.198414486,INVO,1.018851908,4619857834," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 6)",ns/op,measureWideDataSetsBenchTrainingCase,4534376189, hex.pca,h2o-3,0,TRUE,1.018851908
48,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.027940102,INVO,1.008132128,3995564.509," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 1)",ns/op,measureWideDataSetsBenchTrainingCase,3963334.168, hex.pca,h2o-3,0,FALSE,1.008132128
49,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.012666542,INVO,1.028872889,4373694.047," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 2)",ns/op,measureWideDataSetsBenchTrainingCase,4250956.647, hex.pca,h2o-3,0,FALSE,1.028872889
50,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.044010226,INVO,0.991633118,4640256.371," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 3)",ns/op,measureWideDataSetsBenchTrainingCase,4679408.429, hex.pca,h2o-3,0,FALSE,-1.008437477
51,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,0.004999775,INVO,1.005408451,5219282.92," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 4)",ns/op,measureWideDataSetsBenchTrainingCase,5191206.535, hex.pca,h2o-3,0,FALSE,1.005408451
52,"Average time, time/op",PCAWideDataSetsTrainingBench,small,-0.233655953,INVO,1.006309528,167460550.9," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 5)",ns/op,measureWideDataSetsBenchTrainingCase,166410578.7, hex.pca,h2o-3,0,TRUE,1.006309528
53,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,0.090917621,INVO,0.998127795,163240872.3," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 6)",ns/op,measureWideDataSetsBenchTrainingCase,163547065.9, hex.pca,h2o-3,0,FALSE,-1.001875716
54,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.011245314,INVO,0.997749851,4143418.992," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 1)",ns/op,measureWideDataSetsBenchTrainingCase,4152763.328, hex.pca,h2o-3,0,FALSE,-1.002255224
55,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.134922124,INVO,1.015577311,4479377.32," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 2)",ns/op,measureWideDataSetsBenchTrainingCase,4410670.927, hex.pca,h2o-3,0,FALSE,1.015577311
56,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,0.030133333,INVO,0.97267655,4675884.18," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 3)",ns/op,measureWideDataSetsBenchTrainingCase,4807234.409, hex.pca,h2o-3,0,FALSE,-1.028090993
57,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,0.014700511,INVO,0.971820656,5225802.382," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 4)",ns/op,measureWideDataSetsBenchTrainingCase,5377332.072, hex.pca,h2o-3,0,FALSE,-1.028996445
58,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.069511111,INVO,1.002127679,271727921.8," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 5)",ns/op,measureWideDataSetsBenchTrainingCase,271150999.5, hex.pca,h2o-3,0,FALSE,1.002127679
59,"Average time, time/op",PCAWideDataSetsTrainingBench,negligible,-0.032346939,INVO,1.000341834,266452390.1," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 6)",ns/op,measureWideDataSetsBenchTrainingCase,266361338.8, hex.pca,h2o-3,0,FALSE,1.000341834
60,"Average time, time/op",GbmMojoScoringBench,negligible,0.134645062,INVO,1.000800254,4670897.067, (rows = 1000),ns/op,measureGbmScore0,4667162.149, hex.tree.gbm,h2o-3,0,FALSE,1.000800254
61,"Average time, time/op",GbmMojoScoringBench,small,0.29742237,INVO,0.997753441,469154968, (rows = 100000),ns/op,measureGbmScore0,470211325.7, hex.tree.gbm,h2o-3,0,TRUE,-1.002251618
0,"Throughput, ops/time",BagAddAllTest,small,-0.204861111,RETU,1.010188068,99.4515,,ops/s,gsc,98.4485, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.010188068
1,"Throughput, ops/time",BagAddAllTest,negligible,0.12,RETU,0.995876077,48.539,,ops/s,guava,48.74, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.004141
2,"Throughput, ops/time",CollectIfTest,medium,0.4144,RETU,0.991058024,105.623,,ops/s,parallel_eager_gsc,106.576, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.009022656
3,"Throughput, ops/time",CollectIfTest,negligible,0.0336,RETU,1.001335223,97.492,,ops/s,parallel_lazy_gsc,97.362, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.001335223
4,"Throughput, ops/time",CollectIfTest,large,0.9648,RETU,0.989190746,65.249,,ops/s,parallel_lazy_jdk,65.962, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.010927371
5,"Throughput, ops/time",CollectIfTest,large,0.6896,RETU,0.994104422,63.232,,ops/s,parallel_lazy_streams_gsc,63.607, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.005930541
6,"Throughput, ops/time",CollectIfTest,small,0.149305556,RETU,0.990985594,17.3695,,ops/s,serial_eager_gsc,17.5275, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.009096405
7,"Throughput, ops/time",CollectIfTest,small,0.1856,RETU,0.989984369,17.1,,ops/s,serial_lazy_gsc,17.273, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.010116959
8,"Throughput, ops/time",CollectIfTest,negligible,-0.104,RETU,1.011127346,17.992,,ops/s,serial_lazy_jdk,17.794, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.011127346
9,"Throughput, ops/time",CollectIfTest,medium,0.4112,RETU,0.9877991,16.678,,ops/s,serial_lazy_streams_gsc,16.884, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.012351601
10,"Throughput, ops/time",FlatCollectTest,negligible,-0.0432,RETU,1.001472588,301.954,,ops/s,serial_eager_gsc,301.51, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.001472588
11,"Throughput, ops/time",FlatCollectTest,negligible,-0.0064,RETU,1.000438359,116.394,,ops/s,serial_lazy_gsc,116.343, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.000438359
12,"Throughput, ops/time",FlatCollectTest,negligible,-0.0784,RETU,1.00304404,106.432,,ops/s,serial_lazy_jdk,106.109, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.00304404
13,"Throughput, ops/time",FlatCollectTest,small,-0.1648,RETU,1.004547482,92.337,,ops/s,serial_lazy_streams_gsc,91.919, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.004547482
14,"Throughput, ops/time",FunctionalInterfaceTest,small,-0.2375,RETU,1.00642886,38.6675, (megamorphicWarmupLevel = 0),ops/s,parallel_lazy_scala,38.4205, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.00642886
15,"Throughput, ops/time",FunctionalInterfaceTest,small,-0.159375,RETU,1.004688635,38.035, (megamorphicWarmupLevel = 1),ops/s,parallel_lazy_scala,37.8575, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.004688635
16,"Throughput, ops/time",FunctionalInterfaceTest,large,-0.510625,RETU,1.011237146,38.156, (megamorphicWarmupLevel = 2),ops/s,parallel_lazy_scala,37.732, com.gs.collections.impl.jmh,gs-collections,0,TRUE,-1.011237146
17,"Throughput, ops/time",FunctionalInterfaceTest,large,-0.505625,RETU,1.015287782,37.9875, (megamorphicWarmupLevel = 3),ops/s,parallel_lazy_scala,37.4155, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.015287782
18,"Throughput, ops/time",FunctionalInterfaceTest,small,-0.14875,RETU,1.063054043,65.2965, (megamorphicWarmupLevel = 0),ops/s,parallel_lazy_scala_hand_coded,61.4235, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.063054043
19,"Throughput, ops/time",FunctionalInterfaceTest,negligible,0.0134375,RETU,0.999983265,59.7525, (megamorphicWarmupLevel = 1),ops/s,parallel_lazy_scala_hand_coded,59.7535, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.000016736
20,"Throughput, ops/time",FunctionalInterfaceTest,small,-0.2459375,RETU,1.00481533,60.723, (megamorphicWarmupLevel = 2),ops/s,parallel_lazy_scala_hand_coded,60.432, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.00481533
21,"Throughput, ops/time",FunctionalInterfaceTest,medium,0.40125,RETU,0.98875388,59.5655, (megamorphicWarmupLevel = 3),ops/s,parallel_lazy_scala_hand_coded,60.243, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.011374034
22,"Throughput, ops/time",FunctionalInterfaceTest,negligible,-0.04501385,RETU,1.000126979,11.8145, (megamorphicWarmupLevel = 0),ops/s,serial_eager_scala,11.813, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.000126979
23,"Throughput, ops/time",FunctionalInterfaceTest,negligible,-0.119113573,RETU,1.008997498,9.476, (megamorphicWarmupLevel = 1),ops/s,serial_eager_scala,9.3915, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.008997498
24,"Throughput, ops/time",FunctionalInterfaceTest,small,-0.1617357,RETU,1.006468717,9.491, (megamorphicWarmupLevel = 2),ops/s,serial_eager_scala,9.43, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.006468717
25,"Throughput, ops/time",FunctionalInterfaceTest,negligible,0.083795014,RETU,0.996535251,9.4915, (megamorphicWarmupLevel = 3),ops/s,serial_eager_scala,9.5245, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.003476795
26,"Throughput, ops/time",FunctionalInterfaceTest,small,-0.251385042,RETU,1.046642515,16.179, (megamorphicWarmupLevel = 0),ops/s,serial_lazy_scala,15.458, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.046642515
27,"Throughput, ops/time",FunctionalInterfaceTest,large,0.495069034,RETU,0.97844893,12.894, (megamorphicWarmupLevel = 1),ops/s,serial_lazy_scala,13.178, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.022025748
28,"Throughput, ops/time",FunctionalInterfaceTest,small,-0.227839335,RETU,1.008354219,13.277, (megamorphicWarmupLevel = 2),ops/s,serial_lazy_scala,13.167, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.008354219
29,"Throughput, ops/time",FunctionalInterfaceTest,negligible,0.064404432,RETU,1.001176873,13.186, (megamorphicWarmupLevel = 3),ops/s,serial_lazy_scala,13.1705, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.001176873
30,"Throughput, ops/time",GroupBySetTest,small,0.243125,RETU,0.994394207,14.9005,,ops/s,groupBy_10000_keys_parallel_lazy_scala,14.9845, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.005637395
31,"Throughput, ops/time",GroupBySetTest,small,-0.29625,RETU,1.021699154,5.556,,ops/s,groupBy_10000_keys_serial_eager_scala,5.438, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.021699154
32,"Throughput, ops/time",GroupBySetTest,small,-0.261772853,RETU,1.013290938,7.967,,ops/s,groupBy_10000_keys_serial_lazy_scala,7.8625, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.013290938
33,"Throughput, ops/time",GroupBySetTest,small,0.29375,RETU,0.985118669,23.2025,,ops/s,groupBy_100_keys_parallel_lazy_scala,23.553, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.015106131
34,"Throughput, ops/time",GroupBySetTest,medium,0.355003652,RETU,0.986154281,6.98,,ops/s,groupBy_100_keys_serial_eager_scala,7.078, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.014040115
35,"Throughput, ops/time",GroupBySetTest,negligible,-0.038132807,RETU,1.000254728,15.707,,ops/s,groupBy_100_keys_serial_lazy_scala,15.703, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.000254728
36,"Throughput, ops/time",GroupBySetTest,negligible,-0.094017094,RETU,1.008180466,12.201,,ops/s,groupBy_2_keys_serial_eager_scala,12.102, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.008180466
37,"Throughput, ops/time",LongIntMapTest,large,0.6796875,RETU,0.992342055,3.11," (fullyRandom = false, mapSizeDividedBy16000 = 1)",ops/s,presizedPut,3.134, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.007717042
38,"Throughput, ops/time",LongIntMapTest,negligible,-0.023416169,RETU,1,2.203," (fullyRandom = false, mapSizeDividedBy16000 = 10)",ops/s,presizedPut,2.203, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1
39,"Throughput, ops/time",LongIntMapTest,medium,-0.41841809,RETU,1.002059732,1.946," (fullyRandom = false, mapSizeDividedBy16000 = 100)",ops/s,presizedPut,1.942, com.gs.collections.impl.jmh,gs-collections,0,TRUE,-1.002059732
40,"Throughput, ops/time",LongIntMapTest,small,-0.206934799,RETU,1.00464876,0.9725," (fullyRandom = false, mapSizeDividedBy16000 = 10000)",ops/s,presizedPut,0.968, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.00464876
41,"Throughput, ops/time",LongIntMapTest,negligible,-0.067703272,RETU,0.997854077,0.93," (fullyRandom = false, mapSizeDividedBy16000 = 100000)",ops/s,presizedPut,0.932, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.002150538
42,"Throughput, ops/time",LongIntMapTest,small,0.198369443,RETU,0.993039918,4.851," (fullyRandom = true, mapSizeDividedBy16000 = 1)",ops/s,presizedPut,4.885, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.007008864
43,"Throughput, ops/time",LongIntMapTest,large,-0.575955556,RETU,1.04428157,3.4195," (fullyRandom = true, mapSizeDividedBy16000 = 10)",ops/s,presizedPut,3.2745, com.gs.collections.impl.jmh,gs-collections,0,TRUE,-1.04428157
44,"Throughput, ops/time",LongIntMapTest,large,0.917384067,RETU,0.986281588,2.732," (fullyRandom = true, mapSizeDividedBy16000 = 100)",ops/s,presizedPut,2.77, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.013909224
45,"Throughput, ops/time",LongIntMapTest,small,0.254523578,RETU,0.996036988,1.508," (fullyRandom = true, mapSizeDividedBy16000 = 10000)",ops/s,presizedPut,1.514, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.00397878
46,"Throughput, ops/time",LongIntMapTest,small,0.188054592,RETU,0.99761194,1.671," (fullyRandom = true, mapSizeDividedBy16000 = 100000)",ops/s,presizedPut,1.675, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.002393776
47,"Throughput, ops/time",LongIntMapTest,negligible,0.131688889,RETU,0.995600251,3.168," (fullyRandom = false, mapSizeDividedBy16000 = 1)",ops/s,put,3.182, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.004419192
48,"Throughput, ops/time",LongIntMapTest,negligible,0.015595354,RETU,0.999086758,2.188," (fullyRandom = false, mapSizeDividedBy16000 = 10)",ops/s,put,2.19, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.000914077
49,"Throughput, ops/time",LongIntMapTest,small,-0.25150122,RETU,1.002077922,1.929," (fullyRandom = false, mapSizeDividedBy16000 = 100)",ops/s,put,1.925, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.002077922
50,"Throughput, ops/time",LongIntMapTest,negligible,-0.059465011,RETU,0.997918835,0.959," (fullyRandom = false, mapSizeDividedBy16000 = 10000)",ops/s,put,0.961, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.002085506
51,"Throughput, ops/time",LongIntMapTest,negligible,-0.087821355,RETU,0.968814969,0.932," (fullyRandom = false, mapSizeDividedBy16000 = 100000)",ops/s,put,0.962, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.032188841
52,"Throughput, ops/time",LongIntMapTest,large,-0.716977778,RETU,1.038604998,5.569," (fullyRandom = true, mapSizeDividedBy16000 = 1)",ops/s,put,5.362, com.gs.collections.impl.jmh,gs-collections,0,TRUE,-1.038604998
53,"Throughput, ops/time",LongIntMapTest,negligible,-0.062,RETU,0.966846132,3.412," (fullyRandom = true, mapSizeDividedBy16000 = 10)",ops/s,put,3.529, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.034290739
54,"Throughput, ops/time",LongIntMapTest,small,0.186079874,RETU,0.998551774,2.758," (fullyRandom = true, mapSizeDividedBy16000 = 100)",ops/s,put,2.762, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.001450326
55,"Throughput, ops/time",LongIntMapTest,small,0.172575676,RETU,0.997350993,1.506," (fullyRandom = true, mapSizeDividedBy16000 = 10000)",ops/s,put,1.51, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.002656042
56,"Throughput, ops/time",LongIntMapTest,large,0.5439239,RETU,0.955730746,1.576," (fullyRandom = true, mapSizeDividedBy16000 = 100000)",ops/s,put,1.649, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.046319797
57,"Throughput, ops/time",LongIntMapTest,large,1,RETU,0.910648853,8.077," (fullyRandom = false, mapSizeDividedBy16000 = 1)",ops/s,remove,8.8695, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.098118113
58,"Throughput, ops/time",LongIntMapTest,medium,0.3972,RETU,0.972352285,6.5415," (fullyRandom = false, mapSizeDividedBy16000 = 10)",ops/s,remove,6.7275, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.028433845
59,"Throughput, ops/time",LongIntMapTest,small,-0.235079501,RETU,1.004962055,3.443," (fullyRandom = false, mapSizeDividedBy16000 = 100)",ops/s,remove,3.426, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.004962055
60,"Throughput, ops/time",LongIntMapTest,medium,-0.34456983,RETU,1.005777008,1.741," (fullyRandom = false, mapSizeDividedBy16000 = 10000)",ops/s,remove,1.731, com.gs.collections.impl.jmh,gs-collections,0,TRUE,-1.005777008
61,"Throughput, ops/time",LongIntMapTest,negligible,-0.007619599,RETU,1.000287853,1.7375," (fullyRandom = false, mapSizeDividedBy16000 = 100000)",ops/s,remove,1.737, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.000287853
62,"Throughput, ops/time",LongIntMapTest,large,1,RETU,0.856743997,16.877," (fullyRandom = true, mapSizeDividedBy16000 = 1)",ops/s,remove,19.699, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.167209812
63,"Throughput, ops/time",LongIntMapTest,large,0.628977778,RETU,0.978461936,7.564," (fullyRandom = true, mapSizeDividedBy16000 = 10)",ops/s,remove,7.7305, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.022012163
64,"Throughput, ops/time",LongIntMapTest,small,-0.205866667,RETU,0.999718468,7.102," (fullyRandom = true, mapSizeDividedBy16000 = 100)",ops/s,remove,7.104, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.000281611
65,"Throughput, ops/time",LongIntMapTest,negligible,-0.114438657,RETU,1,2.298," (fullyRandom = true, mapSizeDividedBy16000 = 10000)",ops/s,remove,2.298, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1
66,"Throughput, ops/time",LongIntMapTest,negligible,-0.079759401,RETU,1.000379795,2.634," (fullyRandom = true, mapSizeDividedBy16000 = 100000)",ops/s,remove,2.633, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.000379795
67,"Throughput, ops/time",RejectTest,large,-0.6096,RETU,1.035531527,71.636,,ops/s,serial_eager_gsc,69.178, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.035531527
68,"Throughput, ops/time",RejectTest,small,0.2144,RETU,0.9900934,61.165,,ops/s,serial_eager_gsc_select_predicates_not,61.777, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.010005722
69,"Throughput, ops/time",RejectTest,negligible,-0.0176,RETU,1.001701282,59.468,,ops/s,serial_lazy_gsc,59.367, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.001701282
70,"Throughput, ops/time",RejectTest,small,-0.225694444,RETU,1.002880697,47.869,,ops/s,serial_lazy_jdk_lambda_negate,47.7315, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.002880697
71,"Throughput, ops/time",RejectTest,negligible,-0.0144,RETU,1.001149643,68.796,,ops/s,serial_lazy_jdk_lambda_not,68.717, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.001149643
72,"Throughput, ops/time",RejectTest,large,0.642361111,RETU,0.980265998,47.687,,ops/s,serial_lazy_streams_gsc_lambda_negate,48.647, com.gs.collections.impl.jmh,gs-collections,0,TRUE,1.020131273
73,"Throughput, ops/time",RejectTest,medium,-0.3408,RETU,1.01177174,54.148,,ops/s,serial_lazy_streams_gsc_lambda_not,53.518, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.01177174
74,"Throughput, ops/time",SetAddAllTest,small,0.2096,RETU,0.991881559,134.394,,ops/s,gsc,135.494, com.gs.collections.impl.jmh,gs-collections,0,FALSE,1.008184889
75,"Throughput, ops/time",SetAddAllTest,negligible,-0.072,RETU,1.008985223,71.082,,ops/s,jdk,70.449, com.gs.collections.impl.jmh,gs-collections,0,FALSE,-1.008985223
