Benchmark Mode,Measurement Unit,Package,Class,Method,Full params,,Factor,Fixed,Original
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = EIGHT),0,0.9217897956886939,180.197,195.486
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = ELEVEN),0,0.9474430557538481,245.5365,259.157
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = FIVE),0,0.8975063060761839,112.436,125.276
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = SIX),0,0.9063894293237269,131.8425,145.459
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = THIRTY),0,0.9803610449378937,676.555,690.1080000000001
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = THREE),0,0.85905293783624,73.373,85.41149999999999
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFast, (exampleHeader = TWENTYTWO),0,0.9704614765196807,501.3535,516.6134999999999
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = EIGHT),0,0.9417459393433631,139.9345,148.59050000000002
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = ELEVEN),0,0.0,190.187,196.9395
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = FIVE),0,0.885377857955214,90.305,101.99600000000001
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = SIX),0,0.9161449585178398,107.997,117.882
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = THIRTY),0,0.0,498.70599999999996,500.49800000000005
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = THREE),0,0.8619584265340724,60.5,70.189
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllFastest, (exampleHeader = TWENTYTWO),0,0.0,368.90700000000004,369.81149999999997
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = EIGHT),0,0.949066089149272,206.6245,217.71349999999998
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = ELEVEN),0,0.9545525616302706,274.725,287.805
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = FIVE),0,0.9013538685527094,126.295,140.11700000000002
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = SIX),0,0.9268241241972509,151.6085,163.5785
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = THIRTY),0,0.985126278394929,750.946,762.284
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = THREE),0,0.8782620736669434,82.45299999999999,93.882
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2AddAllSlow, (exampleHeader = TWENTYTWO),0,0.982378276169967,561.105,571.17
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = EIGHT),0,0.899187115399225,71.016,78.97800000000001
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = ELEVEN),0,0.9514998884841276,102.389,107.60799999999999
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = FIVE),0,0.8050900169321676,46.597,57.878
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = SIX),0,0.8159458117824144,50.955,62.449
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = THIRTY),0,1.1015731029331846,379.048,344.097
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = THREE),0,0.6427788025325291,25.787,40.117999999999995
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Get, (exampleHeader = TWENTYTWO),0,0.9398248926888545,215.0075,228.774
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = EIGHT),0,0.7575666237059827,36.4435,48.105999999999995
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = ELEVEN),0,0.8394331233475307,49.370000000000005,58.813500000000005
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = FIVE),0,0.615173397050864,23.3,37.8755
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = SIX),0,0.6727772908754505,27.635,41.076
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = THIRTY),0,1.0597855249353292,132.328,124.863
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = THREE),0,0.4773565034228542,14.504000000000001,30.384
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Iterate, (exampleHeader = TWENTYTWO),0,1.0066916266754924,97.33500000000001,96.688
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Put, (exampleHeader = EIGHT),0,0.8845283754794253,136.067,153.83
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Put, (exampleHeader = ELEVEN),0,0.9053121814120452,178.9345,197.6495
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Put, (exampleHeader = FIVE),0,0.8516213222178411,90.713,106.51799999999999
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Put, (exampleHeader = SIX),0,0.8794928708165557,106.5875,121.192
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Put, (exampleHeader = THIRTY),0,0.9521989133811344,450.591,473.211
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Put, (exampleHeader = THREE),0,0.8196156256528098,62.776,76.592
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Put, (exampleHeader = TWENTYTWO),0,0.929310605509108,331.907,357.154
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Remove, (exampleHeader = EIGHT),0,0.6575594514841173,37.882,57.61
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Remove, (exampleHeader = ELEVEN),0,0.7151571317915237,51.703,72.296
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Remove, (exampleHeader = FIVE),0,0.5572409912550114,23.768,42.653
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Remove, (exampleHeader = SIX),0,0.6024227102754517,28.5955,47.4675
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Remove, (exampleHeader = THIRTY),0,0.83719070863491,139.265,166.34799999999998
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Remove, (exampleHeader = THREE),0,0.4374897248501697,14.636,33.454499999999996
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,http2Remove, (exampleHeader = TWENTYTWO),0,0.805987625994905,101.87200000000001,126.39399999999999
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFast, (exampleHeader = EIGHT),0,0.9409404581848849,372.651,396.041
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFast, (exampleHeader = ELEVEN),0,0.9780463564764867,483.195,494.041
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFast, (exampleHeader = FIVE),0,0.9033211619705145,181.213,200.60750000000002
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFast, (exampleHeader = SIX),0,0.9196517301030986,224.87599999999998,244.523
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFast, (exampleHeader = THIRTY),0,1.046684214094505,1844.9395000000002,1762.6515
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFast, (exampleHeader = THREE),0,0.8825034232254573,107.631,121.96100000000001
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFast, (exampleHeader = TWENTYTWO),0,1.054610937738262,1397.0410000000002,1324.6979999999999
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFastest, (exampleHeader = EIGHT),0,0.0,122.512,121.361
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFastest, (exampleHeader = ELEVEN),0,0.0,158.26,155.32549999999998
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFastest, (exampleHeader = FIVE),0,0.9251847928707948,80.35600000000001,86.854
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFastest, (exampleHeader = SIX),0,0.9634970871465469,92.6995,96.2115
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFastest, (exampleHeader = THIRTY),0,1.1107094692862998,420.037,378.17
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFastest, (exampleHeader = THREE),0,0.8539260503658714,52.864,61.907
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpAddAllFastest, (exampleHeader = TWENTYTWO),0,0.0,316.932,311.45599999999996
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpGet, (exampleHeader = EIGHT),0,0.9162635138108579,156.1565,170.4275
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpGet, (exampleHeader = ELEVEN),0,0.9393417601788555,218.4815,232.59
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpGet, (exampleHeader = FIVE),0,0.861358082706767,91.64850000000001,106.4
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpGet, (exampleHeader = SIX),0,0.8718106995884773,105.925,121.5
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpGet, (exampleHeader = THIRTY),0,1.0030785477335598,1747.744,1742.38
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpGet, (exampleHeader = THREE),0,0.7532941991468262,51.6515,68.5675
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpGet, (exampleHeader = TWENTYTWO),0,1.0045077504643112,504.6215,502.357
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpIterate, (exampleHeader = EIGHT),0,0.7369368421052631,35.0045,47.5
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpIterate, (exampleHeader = ELEVEN),0,0.8245478596521664,47.528999999999996,57.6425
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpIterate, (exampleHeader = FIVE),0,0.5794620392706145,22.34,38.553000000000004
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpIterate, (exampleHeader = SIX),0,0.6393707237159102,26.539,41.508
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpIterate, (exampleHeader = THIRTY),0,1.0498445186659866,127.61699999999999,121.55799999999999
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpIterate, (exampleHeader = THREE),0,0.45475083914278336,14.09,30.984
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpIterate, (exampleHeader = TWENTYTWO),0,0.9878166719226322,93.971,95.13
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpPut, (exampleHeader = EIGHT),0,0.9181421767596165,146.126,159.154
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpPut, (exampleHeader = ELEVEN),0,0.9326568621774457,193.295,207.252
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpPut, (exampleHeader = FIVE),0,0.880552594171997,99.115,112.56
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpPut, (exampleHeader = SIX),0,0.8985694083085266,115.007,127.98899999999999
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpPut, (exampleHeader = THIRTY),0,0.971954370205493,489.068,503.18
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpPut, (exampleHeader = THREE),0,0.7881331938203976,64.024,81.235
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpPut, (exampleHeader = TWENTYTWO),0,0.9642540808126011,364.15200000000004,377.6515
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpRemove, (exampleHeader = EIGHT),0,0.717963663008543,43.113,60.049
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpRemove, (exampleHeader = ELEVEN),0,0.7798128147844593,58.9905,75.647
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpRemove, (exampleHeader = FIVE),0,0.6197695708480329,27.757,44.786
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpRemove, (exampleHeader = SIX),0,0.663227308769359,33.039,49.8155
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpRemove, (exampleHeader = THIRTY),0,0.9321808277722313,159.663,171.279
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpRemove, (exampleHeader = THREE),0,0.4885691309092997,17.011,34.818000000000005
"Average time, time/op",ns/op, io.netty.microbench.headers,HeadersBenchmark,httpRemove, (exampleHeader = TWENTYTWO),0,0.9092156396832819,118.619,130.463
"Throughput, ops/time",ops/s, io.netty.handler.codec,CodecOutputListBenchmark,arrayList, (elements = 1),0,1.8786168889691133,62188238.2355,33103204.064999998
"Throughput, ops/time",ops/s, io.netty.handler.codec,CodecOutputListBenchmark,arrayList, (elements = 4),0,1.1526666308695097,27120407.176999997,23528404.875
"Throughput, ops/time",ops/s, io.netty.handler.codec,CodecOutputListBenchmark,codecOutList, (elements = 1),0,1.5272759076488591,67251089.0445,44033359.4655
"Throughput, ops/time",ops/s, io.netty.handler.codec,CodecOutputListBenchmark,codecOutList, (elements = 4),0,1.596917095301382,59174088.779,37055204.026
"Throughput, ops/time",ops/s, io.netty.handler.codec,CodecOutputListBenchmark,recyclableArrayList, (elements = 1),0,0.6155209665859571,21719082.751,35285691.195
"Throughput, ops/time",ops/s, io.netty.handler.codec,CodecOutputListBenchmark,recyclableArrayList, (elements = 4),0,0.6995534312881658,17149442.758500002,24514843.314999998
